name,ressort_name,year,Eingang_Erstanträge,Eingang_Klagen,Informationszugang_gewährt,Informationszugang_teilweise_gewährt,Informationszugang_abgelehnt,sonstige_Erledigung,Gebühr_erhoben,Eingang_Widersprüche
BPrA,BPrA,2018-01-01,27,0,8,2,12,5,0,0
BT,BT,2018-01-01,2666,2,58,20,43,2706,0,9
BR,BR,2018-01-01,6,0,0,3,2,1,0,0
BBank,BBank,2018-01-01,55,0,30,6,4,13,1,0
BVerfG,BVerfG,2018-01-01,16,0,5,2,6,4,0,0
BfDI,BfDI,2018-01-01,233,0,90,22,34,61,2,1
BRH,BRH,2018-01-01,5,0,1,0,0,4,0,0
BK,BK,2019-01-01,305,1,39,26,74,153,28,7
BK,BK,2019-01-01,30,0,0,0,10,20,0,0
BMAS,BMAS,2019-01-01,60,0,17,5,12,19,0,1
BMAS,BMAS,2019-01-01,1229,8,1036,34,32,105,9,18
AA,AA,2019-01-01,533,1,100,64,36,317,85,18
AA,AA,2019-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2019-01-01,420,2,139,22,56,187,13,11
BMJV,BMJ,2019-01-01,188,4,42,25,12,111,11,3
BMJV,BMJ,2019-01-01,341,2,240,11,17,54,3,7
BMF,BMF,2019-01-01,182,1,28,15,57,85,8,17
BMF,BMF,2019-01-01,3763,7,2916,39,85,502,914,27
BMWi,BMWE,2019-01-01,210,1,49,22,33,92,18,3
BMWi,BMWE,2019-01-01,957,9,331,56,105,426,6,20
BMEL,BMLEH,2019-01-01,131,2,33,22,42,33,8,7
BMEL,BMLEH,2019-01-01,45339,0,26,29,10,16,10,7
BMVg,BMVg,2019-01-01,254,0,112,28,24,90,2,3
BMVg,BMVg,2019-01-01,53,0,30,5,10,9,1,1
BMFSFJ,BMBFSFJ,2019-01-01,85,1,18,19,33,15,2,9
BMFSFJ,BMBFSFJ,2019-01-01,22,0,17,0,2,3,1,0
BMG,BMG,2019-01-01,118,0,47,6,11,37,5,3
BMG,BMG,2019-01-01,135,1,54,25,14,25,21,2
BMVI,BMV,2019-01-01,73,1,17,12,26,3,2,19
BMVI,BMV,2019-01-01,630,3,134,24,70,70,13,25
BMU,BMUKN,2019-01-01,59,0,39,10,2,6,0,2
BMU,BMUKN,2019-01-01,75,0,47,6,17,3,0,1
BMBF,BMFTR,2019-01-01,134,0,66,17,6,46,1,3
BMBF,BMFTR,2019-01-01,1,0,1,0,0,0,0,0
BKM,BKM,2019-01-01,37,1,12,10,1,13,4,1
BKM,BKM,2019-01-01,11,0,4,4,1,1,0,0
BMZ,BMZ,2019-01-01,81,0,21,8,13,31,4,2
BPA,BPA,2019-01-01,0,0,0,0,0,0,0,0
BPrA,BPrA,2019-01-01,68,1,26,12,10,17,0,2
BT,BT,2019-01-01,290,1,51,26,102,99,2,11
BR,BR,2019-01-01,19,0,0,1,0,13,0,0
BBank,BBank,2019-01-01,28,1,10,2,9,2,0,1
BVerfG,BVerfG,2019-01-01,26,1,5,3,17,0,1,3
